date,zone_id,VV_mean,VH_mean
2026-07-07,zone_10,-9.3265,-17.2194
2026-07-07,zone_11,-10.0968,-18.2234
2026-07-07,zone_12,-9.0088,-17.724
2026-07-07,zone_13,-9.2143,-17.3997
2026-07-07,zone_14,-9.653,-18.1871
2026-07-07,zone_15,-12.1168,-19.8546
2026-07-07,zone_16,-12.4976,-19.2485
2026-07-19,zone_01,-7.0427,-15.4966
2026-07-19,zone_02,-7.9566,-16.5468
2026-07-19,zone_03,-8.3543,-16.8824
2026-07-19,zone_04,-8.2406,-14.1727
2026-07-19,zone_05,-9.164,-18.218
2026-07-19,zone_06,-8.8157,-17.2346
2026-07-19,zone_07,-10.9641,-19.7532
2026-07-19,zone_08,-8.2129,-15.2782
2026-07-19,zone_09,-9.8437,-18.2417
2026-07-19,zone_10,-9.5619,-17.5197
2026-07-19,zone_11,-10.3891,-18.4677
2026-07-19,zone_12,-9.1712,-17.9461
2026-07-19,zone_13,-9.41,-17.6828
2026-07-19,zone_14,-9.651,-18.1648
2026-07-19,zone_15,-12.1901,-20.3225
2026-07-19,zone_16,-12.8572,-19.8162
2026-07-31,zone_01,-6.9091,-15.4014
2026-07-31,zone_02,-8.1948,-16.4863
2026-07-31,zone_03,-8.4301,-16.9103
2026-07-31,zone_04,-8.7275,-14.4049
2026-07-31,zone_05,-9.2915,-18.1258
2026-07-31,zone_06,-8.9514,-17.2949
2026-07-31,zone_07,-10.9781,-20.0349
2026-07-31,zone_08,-8.479,-15.4717
2026-07-31,zone_09,-9.9278,-18.5085
2026-07-31,zone_10,-9.4719,-17.8909
2026-07-31,zone_11,-9.855,-18.4615
2026-07-31,zone_12,-9.5557,-18.8085
2026-07-31,zone_13,-9.3599,-17.5941
2026-07-31,zone_14,-9.1535,-17.6506
2026-07-31,zone_15,-11.2895,-20.0304
2026-07-31,zone_16,-12.4855,-19.9589
2026-08-12,zone_01,-7.2944,-15.5196
2026-08-12,zone_02,-8.8232,-17.1125
2026-08-12,zone_03,-8.5452,-17.1042
2026-08-12,zone_04,-8.2577,-14.1667
2026-08-12,zone_05,-9.8184,-19.0291
2026-08-12,zone_06,-9.2681,-17.637
2026-08-12,zone_07,-11.2877,-20.3887
2026-08-12,zone_08,-8.0274,-15.3631
2026-08-12,zone_09,-10.5745,-19.5137
2026-08-12,zone_10,-9.9347,-18.1532
2026-08-12,zone_11,-10.0119,-18.8028
2026-08-12,zone_12,-9.6571,-18.7315
2026-08-12,zone_13,-9.8229,-18.2739
2026-08-12,zone_14,-9.8467,-18.6948
2026-08-12,zone_15,-12.2891,-20.7987
2026-08-12,zone_16,-12.5742,-19.9305
